seller_product_id,seller_id,product_id,seller_price_usd,listing_created_at,listing_active_flag,scenario_name
seller_product_0000001,seller_000666,product_000001,196.34,2024-01-01T00:00:00,True,baseline
seller_product_0000002,seller_000573,product_000002,175.26,2024-01-01T00:00:00,True,baseline
seller_product_0000003,seller_000416,product_000003,31.57,2024-01-01T00:00:00,True,baseline
seller_product_0000004,seller_001045,product_000003,24.81,2024-01-01T00:00:00,True,baseline
seller_product_0000005,seller_000136,product_000004,18.13,2024-01-01T00:00:00,True,baseline
seller_product_0000006,seller_000878,product_000004,16.16,2024-01-01T00:00:00,True,baseline
seller_product_0000007,seller_000019,product_000005,21.47,2024-01-01T00:00:00,True,baseline
seller_product_0000008,seller_000353,product_000006,33.29,2024-01-01T00:00:00,True,baseline
seller_product_0000009,seller_000066,product_000007,124.45,2024-01-01T00:00:00,True,baseline
seller_product_0000010,seller_000973,product_000007,101.89,2024-01-01T00:00:00,True,baseline
seller_product_0000011,seller_000753,product_000008,72.19,2024-01-01T00:00:00,True,baseline
seller_product_0000012,seller_000800,product_000008,77.11,2024-01-01T00:00:00,True,baseline
seller_product_0000013,seller_000913,product_000008,68.55,2024-01-01T00:00:00,True,baseline
seller_product_0000014,seller_000458,product_000009,28.3,2024-01-01T00:00:00,True,baseline
seller_product_0000015,seller_000864,product_000009,32.82,2024-01-01T00:00:00,True,baseline
seller_product_0000016,seller_000158,product_000010,146.29,2024-01-01T00:00:00,True,baseline
seller_product_0000017,seller_000432,product_000011,549.51,2024-01-01T00:00:00,True,baseline
seller_product_0000018,seller_000337,product_000012,89.39,2024-01-01T00:00:00,True,baseline
seller_product_0000019,seller_000389,product_000012,96.54,2024-01-01T00:00:00,True,baseline
seller_product_0000020,seller_000408,product_000012,110.56,2024-01-01T00:00:00,True,baseline
seller_product_0000021,seller_000773,product_000013,118.5,2024-01-01T00:00:00,True,baseline
seller_product_0000022,seller_001147,product_000013,136.1,2024-01-01T00:00:00,True,baseline
seller_product_0000023,seller_000768,product_000014,137.97,2024-01-01T00:00:00,True,baseline
seller_product_0000024,seller_000906,product_000014,157.29,2024-01-01T00:00:00,True,baseline
seller_product_0000025,seller_000255,product_000015,557.33,2024-01-01T00:00:00,True,baseline
seller_product_0000026,seller_000676,product_000015,460.92,2024-01-01T00:00:00,True,baseline
seller_product_0000027,seller_000964,product_000015,503.72,2024-01-01T00:00:00,True,baseline
seller_product_0000028,seller_000202,product_000016,18.48,2024-01-01T00:00:00,True,baseline
seller_product_0000029,seller_000441,product_000016,16.92,2024-01-01T00:00:00,True,baseline
seller_product_0000030,seller_000858,product_000017,45.65,2024-01-01T00:00:00,True,baseline
seller_product_0000031,seller_000664,product_000018,44.99,2024-01-01T00:00:00,True,baseline
seller_product_0000032,seller_000340,product_000019,64.38,2024-01-01T00:00:00,True,baseline
seller_product_0000033,seller_000632,product_000020,79.57,2024-01-01T00:00:00,True,baseline
seller_product_0000034,seller_000606,product_000021,14.76,2024-01-01T00:00:00,True,baseline
seller_product_0000035,seller_000060,product_000022,72.0,2024-01-01T00:00:00,True,baseline
seller_product_0000036,seller_000320,product_000023,128.01,2024-01-01T00:00:00,True,baseline
seller_product_0000037,seller_001022,product_000023,147.8,2024-01-01T00:00:00,True,baseline
seller_product_0000038,seller_000164,product_000024,76.21,2024-01-01T00:00:00,True,baseline
seller_product_0000039,seller_000700,product_000024,74.08,2024-01-01T00:00:00,True,baseline
seller_product_0000040,seller_000511,product_000025,40.66,2024-01-01T00:00:00,True,baseline
seller_product_0000041,seller_001155,product_000025,39.16,2024-01-01T00:00:00,True,baseline
seller_product_0000042,seller_001107,product_000026,40.34,2024-01-01T00:00:00,True,baseline
seller_product_0000043,seller_000307,product_000027,20.55,2024-01-01T00:00:00,True,baseline
seller_product_0000044,seller_000478,product_000027,18.81,2024-01-01T00:00:00,True,baseline
seller_product_0000045,seller_000698,product_000027,23.5,2024-01-01T00:00:00,True,baseline
seller_product_0000046,seller_000255,product_000028,70.36,2024-01-01T00:00:00,True,baseline
seller_product_0000047,seller_000864,product_000028,56.58,2024-01-01T00:00:00,True,baseline
seller_product_0000048,seller_000617,product_000029,27.13,2024-01-01T00:00:00,True,baseline
seller_product_0000049,seller_000351,product_000030,29.17,2024-01-01T00:00:00,True,baseline
seller_product_0000050,seller_000718,product_000030,29.08,2024-01-01T00:00:00,True,baseline
seller_product_0000051,seller_000800,product_000031,34.82,2024-01-01T00:00:00,True,baseline
seller_product_0000052,seller_000825,product_000031,31.29,2024-01-01T00:00:00,True,baseline
seller_product_0000053,seller_000989,product_000031,41.06,2024-01-01T00:00:00,True,baseline
seller_product_0000054,seller_001070,product_000031,32.99,2024-01-01T00:00:00,True,baseline
seller_product_0000055,seller_001118,product_000032,107.03,2024-01-01T00:00:00,True,baseline
seller_product_0000056,seller_001139,product_000032,99.26,2024-01-01T00:00:00,True,baseline
seller_product_0000057,seller_001186,product_000032,99.42,2024-01-01T00:00:00,True,baseline
seller_product_0000058,seller_000147,product_000033,163.57,2024-01-01T00:00:00,True,baseline
seller_product_0000059,seller_000193,product_000033,175.69,2024-01-01T00:00:00,True,baseline
seller_product_0000060,seller_000729,product_000033,175.39,2024-01-01T00:00:00,True,baseline
seller_product_0000061,seller_000468,product_000034,49.27,2024-01-01T00:00:00,True,baseline
seller_product_0000062,seller_000864,product_000034,51.57,2024-01-01T00:00:00,True,baseline
seller_product_0000063,seller_000907,product_000035,19.14,2024-01-01T00:00:00,True,baseline
seller_product_0000064,seller_000963,product_000035,17.83,2024-01-01T00:00:00,True,baseline
seller_product_0000065,seller_000493,product_000036,89.09,2024-01-01T00:00:00,True,baseline
