customer_id,customer_unique_id,customer_state,customer_city,customer_region,customer_zip_prefix,customer_segment,customer_lifecycle_stage,created_at
customer_000001,customer_unique_000001,WA,Seattle,West,64634,one_time_buyer,returning,2024-01-01T00:00:00
customer_000002,customer_unique_000002,TX,Dallas,South,14607,one_time_buyer,returning,2024-02-18T00:00:00
customer_000003,customer_unique_000003,FL,Tampa,South,91831,one_time_buyer,active,2024-01-01T00:00:00
customer_000004,customer_unique_000004,FL,Tampa,South,72166,occasional_buyer,active,2024-05-21T00:00:00
customer_000005,customer_unique_000005,KS,Topeka,Midwest,70936,one_time_buyer,active,2024-01-01T00:00:00
customer_000006,customer_unique_000006,CA,Los Angeles,West,32904,occasional_buyer,new,2024-04-19T00:00:00
customer_000007,customer_unique_000007,FL,Tampa,South,98189,one_time_buyer,at_risk,2024-01-01T00:00:00
customer_000008,customer_unique_000008,CA,San Diego,West,90089,one_time_buyer,active,2024-01-01T00:00:00
customer_000009,customer_unique_000009,IL,Chicago,Midwest,47809,occasional_buyer,active,2024-01-01T00:00:00
customer_000010,customer_unique_000010,PA,Philadelphia,Northeast,03147,one_time_buyer,active,2024-01-01T00:00:00
customer_000011,customer_unique_000011,GA,Atlanta,South,36827,high_value_buyer,returning,2024-01-01T00:00:00
customer_000012,customer_unique_000012,FL,Orlando,South,57043,category_loyal,active,2024-01-01T00:00:00
customer_000013,customer_unique_000013,AR,Fayetteville,South,04117,category_loyal,new,2024-01-01T00:00:00
customer_000014,customer_unique_000014,IL,Springfield,Midwest,16641,one_time_buyer,active,2024-01-01T00:00:00
customer_000015,customer_unique_000015,TX,Houston,South,50587,one_time_buyer,active,2024-01-01T00:00:00
customer_000016,customer_unique_000016,NE,Omaha,Midwest,67200,high_value_buyer,active,2024-02-16T00:00:00
customer_000017,customer_unique_000017,CA,Sacramento,West,52270,high_value_buyer,at_risk,2024-01-01T00:00:00
customer_000018,customer_unique_000018,KS,Wichita,Midwest,40420,one_time_buyer,at_risk,2024-04-22T00:00:00
customer_000019,customer_unique_000019,CA,San Diego,West,35982,high_value_buyer,new,2024-01-01T00:00:00
customer_000020,customer_unique_000020,CA,Sacramento,West,62178,high_value_buyer,new,2024-01-01T00:00:00
customer_000021,customer_unique_000021,WI,Madison,Midwest,34986,occasional_buyer,returning,2024-01-01T00:00:00
customer_000022,customer_unique_000022,KY,Louisville,South,18545,category_loyal,returning,2024-01-01T00:00:00
customer_000023,customer_unique_000023,VT,Burlington,Northeast,72326,one_time_buyer,active,2024-01-01T00:00:00
customer_000024,customer_unique_000024,CA,Sacramento,West,67160,occasional_buyer,active,2024-04-17T00:00:00
customer_000025,customer_unique_000025,MT,Billings,West,73255,occasional_buyer,returning,2024-01-01T00:00:00
customer_000026,customer_unique_000026,FL,Jacksonville,South,35873,one_time_buyer,active,2024-01-01T00:00:00
customer_000027,customer_unique_000027,NY,New York,Northeast,73986,occasional_buyer,returning,2024-01-01T00:00:00
customer_000028,customer_unique_000028,TX,Austin,South,53509,occasional_buyer,active,2024-01-23T00:00:00
customer_000029,customer_unique_000029,ID,Idaho Falls,West,98751,occasional_buyer,active,2024-04-09T00:00:00
customer_000030,customer_unique_000030,MI,Grand Rapids,Midwest,02220,occasional_buyer,new,2024-01-01T00:00:00
customer_000031,customer_unique_000031,FL,Tampa,South,20493,discount_sensitive,returning,2024-05-22T00:00:00
customer_000032,customer_unique_000032,MD,Baltimore,South,50347,discount_sensitive,active,2024-01-01T00:00:00
customer_000033,customer_unique_000033,DE,Wilmington,South,93368,one_time_buyer,at_risk,2024-01-01T00:00:00
customer_000034,customer_unique_000034,NY,New York,Northeast,61826,occasional_buyer,returning,2024-01-01T00:00:00
customer_000035,customer_unique_000035,NY,New York,Northeast,07625,category_loyal,at_risk,2024-01-01T00:00:00
customer_000036,customer_unique_000036,FL,Jacksonville,South,21758,category_loyal,returning,2024-02-23T00:00:00
customer_000037,customer_unique_000037,TX,Austin,South,90799,category_loyal,at_risk,2024-01-01T00:00:00
customer_000038,customer_unique_000038,NH,Manchester,Northeast,37607,one_time_buyer,new,2024-01-01T00:00:00
customer_000039,customer_unique_000039,MN,Duluth,Midwest,30735,occasional_buyer,active,2024-03-03T00:00:00
customer_000040,customer_unique_000040,FL,Orlando,South,98867,discount_sensitive,active,2024-02-22T00:00:00
customer_000041,customer_unique_000041,OH,Columbus,Midwest,22324,discount_sensitive,new,2024-01-01T00:00:00
customer_000042,customer_unique_000042,AR,Fayetteville,South,24595,one_time_buyer,active,2024-01-01T00:00:00
customer_000043,customer_unique_000043,CA,Sacramento,West,52950,one_time_buyer,returning,2024-01-01T00:00:00
customer_000044,customer_unique_000044,DE,Dover,South,05306,occasional_buyer,returning,2024-01-01T00:00:00
customer_000045,customer_unique_000045,CA,Los Angeles,West,11708,category_loyal,new,2024-01-01T00:00:00
customer_000046,customer_unique_000046,PA,Philadelphia,Northeast,65275,one_time_buyer,active,2024-01-01T00:00:00
customer_000047,customer_unique_000047,SD,Rapid City,Midwest,80477,high_value_buyer,returning,2024-06-03T00:00:00
customer_000048,customer_unique_000048,NC,Raleigh,South,24059,occasional_buyer,returning,2024-01-01T00:00:00
customer_000049,customer_unique_000049,NY,New York,Northeast,54524,one_time_buyer,active,2024-01-01T00:00:00
customer_000050,customer_unique_000050,GA,Atlanta,South,98986,occasional_buyer,returning,2024-01-01T00:00:00
customer_000051,customer_unique_000051,NY,New York,Northeast,65280,one_time_buyer,new,2024-01-01T00:00:00
customer_000052,customer_unique_000052,VT,Burlington,Northeast,32161,discount_sensitive,returning,2024-01-01T00:00:00
customer_000053,customer_unique_000053,GA,Savannah,South,87766,one_time_buyer,active,2024-04-19T00:00:00
customer_000054,customer_unique_000054,DC,Washington,South,41229,occasional_buyer,active,2024-01-01T00:00:00
customer_000055,customer_unique_000055,IL,Chicago,Midwest,85798,occasional_buyer,active,2024-01-01T00:00:00
customer_000056,customer_unique_000056,VT,Burlington,Northeast,87407,discount_sensitive,at_risk,2024-02-24T00:00:00
customer_000057,customer_unique_000057,KY,Lexington,South,75271,category_loyal,new,2024-05-12T00:00:00
customer_000058,customer_unique_000058,NM,Santa Fe,West,93897,one_time_buyer,at_risk,2024-01-01T00:00:00
customer_000059,customer_unique_000059,NH,Manchester,Northeast,28139,high_value_buyer,new,2024-01-01T00:00:00
customer_000060,customer_unique_000060,PA,Philadelphia,Northeast,26557,one_time_buyer,returning,2024-01-01T00:00:00
customer_000061,customer_unique_000061,WA,Seattle,West,39187,category_loyal,new,2024-05-31T00:00:00
customer_000062,customer_unique_000062,WY,Cheyenne,West,19706,occasional_buyer,active,2024-05-30T00:00:00
customer_000063,customer_unique_000063,CA,San Diego,West,79204,high_value_buyer,active,2024-01-01T00:00:00
customer_000064,customer_unique_000064,NJ,Newark,Northeast,98724,discount_sensitive,returning,2024-01-01T00:00:00
customer_000065,customer_unique_000065,PA,Philadelphia,Northeast,22998,one_time_buyer,at_risk,2024-01-01T00:00:00
customer_000066,customer_unique_000066,TX,Austin,South,93256,one_time_buyer,returning,2024-05-30T00:00:00
customer_000067,customer_unique_000067,TX,Houston,South,35700,category_loyal,active,2024-04-09T00:00:00
customer_000068,customer_unique_000068,MS,Jackson,South,57716,one_time_buyer,returning,2024-01-01T00:00:00
customer_000069,customer_unique_000069,HI,Hilo,West,67179,one_time_buyer,at_risk,2024-01-01T00:00:00
customer_000070,customer_unique_000070,CA,Los Angeles,West,32622,discount_sensitive,active,2024-01-01T00:00:00
customer_000071,customer_unique_000071,NM,Albuquerque,West,22261,one_time_buyer,active,2024-01-01T00:00:00
customer_000072,customer_unique_000072,MI,Detroit,Midwest,49992,occasional_buyer,returning,2024-01-01T00:00:00
customer_000073,customer_unique_000073,AR,Little Rock,South,13816,occasional_buyer,at_risk,2024-05-20T00:00:00
customer_000074,customer_unique_000074,RI,Warwick,Northeast,50152,occasional_buyer,active,2024-01-01T00:00:00
customer_000075,customer_unique_000075,CA,San Diego,West,03299,one_time_buyer,at_risk,2024-01-01T00:00:00
customer_000076,customer_unique_000076,CA,Sacramento,West,26720,occasional_buyer,at_risk,2024-01-01T00:00:00
customer_000077,customer_unique_000077,TN,Nashville,South,55666,high_value_buyer,at_risk,2024-01-01T00:00:00
customer_000078,customer_unique_000078,TX,Houston,South,37478,occasional_buyer,at_risk,2024-01-01T00:00:00
customer_000079,customer_unique_000079,WV,Charleston,South,22216,occasional_buyer,new,2024-01-01T00:00:00
customer_000080,customer_unique_000080,WV,Morgantown,South,03620,one_time_buyer,new,2024-01-01T00:00:00
customer_000081,customer_unique_000081,VA,Virginia Beach,South,40409,high_value_buyer,active,2024-01-01T00:00:00
customer_000082,customer_unique_000082,IA,Des Moines,Midwest,21092,one_time_buyer,new,2024-01-01T00:00:00
customer_000083,customer_unique_000083,PA,Pittsburgh,Northeast,39294,high_value_buyer,active,2024-05-06T00:00:00
customer_000084,customer_unique_000084,NC,Raleigh,South,46682,high_value_buyer,active,2024-01-01T00:00:00
customer_000085,customer_unique_000085,CA,Los Angeles,West,26794,high_value_buyer,returning,2024-01-01T00:00:00
customer_000086,customer_unique_000086,ME,Bangor,Northeast,19376,one_time_buyer,active,2024-01-01T00:00:00
customer_000087,customer_unique_000087,FL,Orlando,South,48725,occasional_buyer,active,2024-01-01T00:00:00
customer_000088,customer_unique_000088,CA,San Diego,West,77525,one_time_buyer,active,2024-01-01T00:00:00
customer_000089,customer_unique_000089,WY,Cheyenne,West,74846,category_loyal,active,2024-01-01T00:00:00
customer_000090,customer_unique_000090,NY,Buffalo,Northeast,59931,one_time_buyer,active,2024-01-01T00:00:00
customer_000091,customer_unique_000091,ND,Bismarck,Midwest,34958,one_time_buyer,active,2024-04-23T00:00:00
customer_000092,customer_unique_000092,NC,Raleigh,South,73265,one_time_buyer,active,2024-01-01T00:00:00
customer_000093,customer_unique_000093,GA,Savannah,South,47934,one_time_buyer,active,2024-01-01T00:00:00
customer_000094,customer_unique_000094,NY,Albany,Northeast,27010,one_time_buyer,returning,2024-01-01T00:00:00
customer_000095,customer_unique_000095,NY,New York,Northeast,10191,one_time_buyer,active,2024-01-01T00:00:00
customer_000096,customer_unique_000096,WV,Charleston,South,74118,occasional_buyer,at_risk,2024-01-01T00:00:00
customer_000097,customer_unique_000097,NH,Manchester,Northeast,32580,occasional_buyer,at_risk,2024-01-01T00:00:00
customer_000098,customer_unique_000098,PA,Pittsburgh,Northeast,51921,discount_sensitive,returning,2024-01-01T00:00:00
customer_000099,customer_unique_000099,CA,Los Angeles,West,16622,one_time_buyer,new,2024-01-01T00:00:00
customer_000100,customer_unique_000100,VT,Montpelier,Northeast,95070,category_loyal,active,2024-06-27T00:00:00
customer_000101,customer_unique_000101,IL,Springfield,Midwest,88094,occasional_buyer,active,2024-01-01T00:00:00
customer_000102,customer_unique_000102,NY,Buffalo,Northeast,34807,occasional_buyer,at_risk,2024-06-19T00:00:00
customer_000103,customer_unique_000103,NM,Albuquerque,West,19952,high_value_buyer,active,2024-01-01T00:00:00
customer_000104,customer_unique_000104,FL,Jacksonville,South,72992,one_time_buyer,returning,2024-01-01T00:00:00
customer_000105,customer_unique_000105,ME,Portland,Northeast,11523,high_value_buyer,active,2024-01-01T00:00:00
customer_000106,customer_unique_000106,NH,Concord,Northeast,11786,high_value_buyer,new,2024-01-01T00:00:00
customer_000107,customer_unique_000107,CA,Los Angeles,West,15744,one_time_buyer,active,2024-01-01T00:00:00
customer_000108,customer_unique_000108,IL,Chicago,Midwest,59363,one_time_buyer,at_risk,2024-01-01T00:00:00
customer_000109,customer_unique_000109,IL,Springfield,Midwest,15810,high_value_buyer,active,2024-01-01T00:00:00
customer_000110,customer_unique_000110,FL,Jacksonville,South,86002,discount_sensitive,new,2024-04-11T00:00:00
customer_000111,customer_unique_000111,IA,Cedar Rapids,Midwest,91282,discount_sensitive,new,2024-01-01T00:00:00
customer_000112,customer_unique_000112,MS,Gulfport,South,45170,occasional_buyer,returning,2024-01-01T00:00:00
customer_000113,customer_unique_000113,UT,Provo,West,85972,high_value_buyer,returning,2024-06-15T00:00:00
customer_000114,customer_unique_000114,ND,Bismarck,Midwest,33475,occasional_buyer,new,2024-01-01T00:00:00
customer_000115,customer_unique_000115,NM,Albuquerque,West,92858,discount_sensitive,active,2024-01-01T00:00:00
customer_000116,customer_unique_000116,CA,Los Angeles,West,72234,one_time_buyer,active,2024-01-01T00:00:00
customer_000117,customer_unique_000117,ND,Bismarck,Midwest,68250,high_value_buyer,returning,2024-01-01T00:00:00
customer_000118,customer_unique_000118,TX,Dallas,South,78923,occasional_buyer,active,2024-01-01T00:00:00
customer_000119,customer_unique_000119,PA,Philadelphia,Northeast,03358,occasional_buyer,new,2024-05-25T00:00:00
customer_000120,customer_unique_000120,MD,Baltimore,South,39478,occasional_buyer,returning,2024-01-01T00:00:00
customer_000121,customer_unique_000121,NY,Albany,Northeast,58096,occasional_buyer,returning,2024-01-01T00:00:00
customer_000122,customer_unique_000122,TX,Austin,South,79227,discount_sensitive,at_risk,2024-01-01T00:00:00
customer_000123,customer_unique_000123,CA,Los Angeles,West,07454,occasional_buyer,at_risk,2024-01-01T00:00:00
customer_000124,customer_unique_000124,OH,Columbus,Midwest,29193,one_time_buyer,returning,2024-01-01T00:00:00
customer_000125,customer_unique_000125,TX,Austin,South,00782,occasional_buyer,new,2024-04-06T00:00:00
customer_000126,customer_unique_000126,IL,Springfield,Midwest,89789,one_time_buyer,active,2024-01-01T00:00:00
customer_000127,customer_unique_000127,PA,Pittsburgh,Northeast,49907,occasional_buyer,returning,2024-01-01T00:00:00
customer_000128,customer_unique_000128,IL,Chicago,Midwest,86159,discount_sensitive,active,2024-01-01T00:00:00
customer_000129,customer_unique_000129,IL,Springfield,Midwest,26537,discount_sensitive,returning,2024-01-25T00:00:00
customer_000130,customer_unique_000130,CA,Sacramento,West,02391,one_time_buyer,returning,2024-02-18T00:00:00
customer_000131,customer_unique_000131,WI,Madison,Midwest,83376,one_time_buyer,returning,2024-01-01T00:00:00
customer_000132,customer_unique_000132,KY,Lexington,South,16463,category_loyal,active,2024-03-21T00:00:00
customer_000133,customer_unique_000133,DC,Washington,South,43180,one_time_buyer,returning,2024-01-01T00:00:00
customer_000134,customer_unique_000134,IL,Chicago,Midwest,47102,category_loyal,active,2024-01-01T00:00:00
customer_000135,customer_unique_000135,AK,Fairbanks,West,80483,one_time_buyer,returning,2024-01-01T00:00:00
customer_000136,customer_unique_000136,PA,Philadelphia,Northeast,75719,occasional_buyer,new,2024-01-01T00:00:00
customer_000137,customer_unique_000137,UT,Salt Lake City,West,26942,occasional_buyer,active,2024-01-01T00:00:00
customer_000138,customer_unique_000138,GA,Savannah,South,87086,one_time_buyer,active,2024-04-20T00:00:00
customer_000139,customer_unique_000139,SC,Columbia,South,26924,one_time_buyer,returning,2024-01-01T00:00:00
customer_000140,customer_unique_000140,MI,Detroit,Midwest,37568,discount_sensitive,new,2024-01-01T00:00:00
customer_000141,customer_unique_000141,MN,Duluth,Midwest,19055,high_value_buyer,active,2024-01-01T00:00:00
customer_000142,customer_unique_000142,CA,Sacramento,West,65165,one_time_buyer,new,2024-01-01T00:00:00
customer_000143,customer_unique_000143,GA,Atlanta,South,54080,occasional_buyer,returning,2024-01-01T00:00:00
customer_000144,customer_unique_000144,TN,Memphis,South,19022,one_time_buyer,active,2024-01-01T00:00:00
customer_000145,customer_unique_000145,CA,San Diego,West,24228,one_time_buyer,new,2024-02-22T00:00:00
customer_000146,customer_unique_000146,AR,Little Rock,South,44033,one_time_buyer,at_risk,2024-04-18T00:00:00
customer_000147,customer_unique_000147,KS,Wichita,Midwest,02304,high_value_buyer,active,2024-01-01T00:00:00
customer_000148,customer_unique_000148,TX,Houston,South,33957,high_value_buyer,at_risk,2024-01-01T00:00:00
customer_000149,customer_unique_000149,OK,Oklahoma City,South,18013,discount_sensitive,active,2024-01-01T00:00:00
customer_000150,customer_unique_000150,NM,Albuquerque,West,03226,one_time_buyer,at_risk,2024-01-01T00:00:00
